4801,还不上9.6，更待何时？,突破无力，9.5以上不敢再进了！,股东,渤海活塞,2
4802,## 抢 大主力突破旗型上轨 601001 目标 12元,## 抢 大主力突破旗型上轨 601001 目标 12元,None,三一重工,1
4803,如今没什么人敢卖了！,如今没什么人敢卖了！,股东,渤海活塞,1
4804,此股还未涨，还有人卖啊，真的不可理喻。。。。。估计给熊市场搞怕了。。。,烽火通信往上拉了,None,长江通信,1
4805,还有在的兄弟吗,还有在的兄弟吗,股东,卫士通,2
4806,带领交通运输板块 奋起杀敌,龙江交通有点吃力 楚天你接过大旗吧,None,楚天高速,2
4807,走自己的路。,不用管人家怎么说，就算你现在拉到涨停板，那些无聊人还会埋怨你那么晚才出手。,None,浔兴股份,2
4808,读书明理之人不可轻他,震荡调整，不久之后又会有新的走势,None,博信股份,2
4809,主力宁可低价卖出，可见多么不看好,主力宁可低价卖出，可见多么不看好,None,天广消防,0
4810,大盘上了100多点，金鹰原地踏步 什么意思,大盘上了100多点，金鹰原地踏步 什么意思,None,金鹰股份,2
4811,看你的了庄家！,收盘11.51,股东,中原环保,2
4812,浪费了大好机会啊,稀土大涨，它停牌,None,有研新材,2
4813,今天一定涨停板,今天要涨停板,股东,硅宝科技,1
4814,大市来了，大家可以抢筹码了,大市来了，大家可以抢筹码了,None,西南证券,1
4815,1,拉升背后，主力的真正意图已经表现出来了。,None,苏交科,2
4816,"压力位下盘万好几天,应该很快就能上","压力位下盘万好几天,应该很快就能上",None,冠城大通,1
4817,买,要涨停了，快介入,None,广宇集团,1
4818,复盘后一直持有到现在，起起落落就像过山车,复盘后一直持有到现在，起起落落就像过山车,None,中文传媒,2
4819,今天目标价19.43-19.77,今天目标价19.43-19.77,股东,东诚药业,2
4820,是不是,解禁股 是个什么东东 不明白的,股东,中国玻纤,2
4821,超级垃圾，就是不拉，好吧，大家拿着看谁先承不住气,扶不上墙了烂泥,None,新黄浦,0
4822,啥意思啊,啥意思啊,股东,中国玻纤,2
4823,垃圾牌子：久立特材,垃圾牌子：久立特材,None,久立特材,0
4824,盘中金叉形成即持续暴涨,盘面一点诡异变化，盘中金叉形成即持续暴涨,None,中国玻纤,1
4825,与庄家共舞,整理结束，突破在即,None,江西长运,1
4826,哈哈,又骗进去一堆人,股东,动力源,2
4827,怎都不見了？,犬伤的研报怎么不見了？唱多的黒咀那去了？,None,光迅科技,2
4828,水货,高台跳水的前兆！赶紧逃。。。,股东,动力源,0
4829,r,现在去追银行、证券等于2边挨板子,None,云意电气,2
4830,好了，今天大涨了,好了，今天大涨了,股东,动力源,1
4831,买,叩门兄，关键时刻，是否可全仓杀入证券股，静听。,None,博彦科技,1
4832,都上丽人是男滴,惊天秘密,股东,维科精华,2
4833,RT,不要操作了，现在调头也来不及了,None,辉煌科技,2
4834,RT,有人辞官归故里，有人星夜赴考场,股东,南方航空,2
4835,跑啦别错过这么大的行情赚钱机会啊,跑了，这行情换什么股都赚比这多,None,龙源技术,0
4836,重组过会涨停开始,重组过会涨停开始,股东,世纪华通,1
4837,此股在此价位是有些压力、但压力定会变成动力、目标价看高3.65一线,实话实说,None,中远航运,1
4838,主力声明：下午两点开始拉升,主力声明：下午两点开始拉升,None,大连热电,1
4839,还不上9.6，更待何时？,不上9.6，再下9.3？,股东,渤海活塞,2
4840,猜猜今天今天是不是板块中的垫底个股,猜猜今天今天是不是板块中的垫底个股,None,露天煤业,2
4841,大盘涨垃圾龙星磨磨唧唧你到底何时涨起来,大盘涨垃圾龙星磨磨唧唧你到底何时涨起来,None,龙星化工,2
4842,垃圾，垃圾，垃圾,垃圾，垃圾，垃圾,股东,中环股份,0
4843,哈哈,垃圾就是垃圾斩仓换股是明智选择,股东,黑化股份,0
4844,安全第一,大盘要调整了，远离垃圾哦,None,鑫龙电器,0
4845,操你姥姥 三元股份,操你姥姥 三元股份的庄拖们,None,三元股份,0
4846,买入持股待涨,3.82买入持股待涨,股东,鲁西化工,1
4847,为什么？求解,大盘走的很好　　这股为什么不涨　反而跌呢,None,美亚光电,0
4848,同上,大盘上涨助推还是抢筹红利看好该股?明天走势可见分晓,None,龙净环保,2
4849,完全控盘,没有耐性和定力的回家睡觉最安全,None,冠农股份,2
4850,如题,散户朋友们珍惜筹码！,股东,洪城水业,2
4851,"又是银行又是地产、军工福建的,咋这熊样？","又是银行又是地产、军工福建的,咋这熊样？",None,冠城大通,2
