2652,铺垫尼玛比，艹尼玛的。害死劳资了，听你们这些庄拖的,铺垫尼玛比，艹尼玛的。害死劳资了，听你们这些庄拖的,None,中国医药,2,1,0
2650,垃圾庄大盘这么好还不拉射等待何时,垃圾庄[不赞]大盘这么好还不拉射等待何时[赚大了],股东,中国医药,0,2,1
1787,大家坐稳了，主力准备动作了，别摔下来,大家坐稳了，主力准备动作了，别摔下来,None,国电南自,0,2,1
3048,前期许多11手卖出，注意了是卖出，不是买进，从反向思维看，卖出11手的是做多的主力所为，11的寓意要翻倍。注：上述“寓意”本人意淫一把而已。,主力告诉你：前期许多11手卖出的寓意,None,梅花生物,2,1,0
4020,主力怎么还不发威？？为何今天主力没有大笔买入？？担心！今天8.46死活充不过去了奶奶的,主力怎么还不发威？？为何今天主力没有大笔买入？？担心！今天8.46死活充不过去,股东,万讯自控,0,2,1
4475,如果今日涨停是50元整数关口以上，那么它会涨停，但是昨日收盘价44.97*1.1=49.46元，今日涨停49.46元，如果今日涨停，那么明日冲击50元整数关口时压力释放会很大，所以今日涨停的可能性不大,广晟有色今日不太可能涨停的原因（要集中力量冲击50元整数关口）,None,广晟有色,1,2,0
4028,为什么我割了就涨起来了，晕了,为什么我割了就涨起来了，晕了,None,凯撒股份,1,2,0
2322,获利出局卖！买将井喷的军工重组第一股600355,获利出局卖！买将井喷的军工重组第一股600355,None,新华龙,1,2,0
1542,能不能争气点！,能不能争气点！,None,丹邦科技,0,2,1
2324,你个王八蛋 没有爆发力,今天我已经介入3分之一仓位了,None,千金药业,2,1,0
4383,明日可能回补14.35元缺口毫无疑问，逢高毫不犹豫清仓卖出，拭目以待。,明日可能回补14.35元缺口毫无疑问，逢高毫不犹豫清仓卖出，拭目以待。,None,顺鑫农业,1,2,0
1075,从此大步不回头。,从此大步不回头。,股东,永安药业,2,1,0
4904,注意,2点将有1000手大单直接打到11.50,股东,龙源技术,2,1,0
